Ingredient Name,Edible/ Non-Edible,Suggestions
Carrot Tops,Edible,"✅ Make carrot top pesto by blending the tops with garlic, nuts, and olive oil.
✅ Use carrot tops in soups and broths to add flavor.
✅ Turn carrot tops into herb butter for bread spread."
Watermelon Rind,Edible,"✅ Pickle the watermelon rind to make tangy pickles.
✅ Blend watermelon rind into smoothies for added fiber.
✅ Make watermelon rind chutney or salsa."
Eggshells,Edible,"✅ Grind eggshells into calcium powder for human consumption.
✅ Use eggshells in coffee to reduce bitterness.
✅ Boil eggshells in soup for natural calcium infusion."
Stale Bread,Edible,"✅ Turn stale bread into croutons or breadcrumbs.
✅ Make bread pudding using stale bread.
✅ Toast stale bread, blend, and use as meat coating."
Apple Cores,Edible,"✅ Boil apple cores to make homemade apple cider vinegar.
✅ Turn apple cores into jelly by extracting pectin.
✅ Use apple cores in smoothies or apple sauces."
Fish Skin,Edible,"✅ Roast fish skin to make crispy fish chips.
✅ Use fish skin as pet treats (high in collagen).
✅ Dry fish skin and use as a natural soup thickener."
Herb Stems,Edible,"✅ Use herb stems in vegetable broths.
✅ Mince herb stems into sauces or dips.
✅ Add herb stems to oil for infused herbal oils."
Leftover Rice,Edible,"✅ Turn leftover rice into crispy rice balls.
✅ Use rice to make fermented rice wine.
✅ Blend rice into flour for rice pancakes."
Potato Skins,Edible,"✅ Bake potato skins until crispy for potato chips.
✅ Blend potato skins into soups for added texture.
✅ Turn potato peels into vegetable stock."
Pizza Crust,Edible,"✅ Turn leftover pizza crust into croutons.
✅ Blend crust into breadcrumbs.
✅ Use crust to make garlic bread sticks."
Aquafaba (Chickpea Water),Edible,"💡 Use aquafaba (the liquid from canned chickpeas) to make vegan whipped cream, meringue, or egg replacement."
Beet Greens,Edible,"💡 Sauté beet greens with garlic and olive oil like spinach or kale.
💡 Blend beet greens into smoothies for extra nutrition."
Squash Seeds,Edible,"💡 Roast squash seeds with salt and paprika for a healthy snack.
💡 Turn squash seeds into plant-based protein powder."
Broccoli Stems,Edible,"💡 Chop broccoli stems and roast them with salt and olive oil.
💡 Blend broccoli stems into vegetable soup for thickness."
Zucchini Peels,Edible,"💡 Use zucchini peels to make crispy vegetable chips.
💡 Turn zucchini peels into homemade vegetable broth.
"
Mushroom Stems,Edible,"💡 Dice mushroom stems and add them to pasta or soups.
💡 Use mushroom stems to make mushroom broth."
Stale Tortilla Chips,Edible,"💡 Crush stale tortilla chips and use them as taco toppings.
💡 Grind tortilla chips into flour for corn tortillas."
Overripe Tomatoes,Edible,"💡 Roast overripe tomatoes to make tomato paste.
💡 Blend overripe tomatoes into homemade ketchup."
Stale Crackers,Edible,"💡 Crush stale crackers and use them as breading for fried food.
💡 Blend crackers into soups for thickness."
Radish Leaves,Edible,"💡 Chop radish leaves and use them in stir-fries.
💡 Turn radish leaves into vegetable broth"
Pear Skins,Edible,"💡 Blend pear skins into fruit smoothies.
💡 Dry pear skins and use them in potpourri."
Celery Leaves,Edible,"💡 Chop celery leaves into salads or soups.
💡 Dry celery leaves and use them as seasoning."
Bread Crusts,Edible,"💡 Turn bread crusts into homemade croutons.
💡 Grind bread crusts into breadcrumbs."
Ingredients,Edible/ Non-Edible,Suggestions
Banana Peel,Non-Edible,"✅ Use banana peels to polish shoes.
✅ Turn banana peels into compost tea for plants.
✅ Boil banana peels and use the water for hair conditioning."
Orange Peel,Non-Edible,"✅ Dry orange peels and use as air freshener.
✅ Infuse orange peels in vinegar for natural cleaners.
✅ Turn orange peels into citrus tea."
Chicken Bones,Non-Edible,"✅ Crush chicken bones to make bone meal fertilizer.
✅ Boil bones to make bone broth or stock.
✅ Turn bones into bone charcoal for water purification."
Lemon Peels,Non-Edible,"✅ Use lemon peels to deodorize refrigerator.
✅ Rub lemon peels on cutting boards for natural cleaner.
✅ Dry lemon peels for herbal tea infusions."
Fish Bones,Non-Edible,"✅ Turn fish bones into fish bone broth.
✅ Crush fish bones into fish fertilizer.
✅ Use fish bones to make bone glue."
Corn Cobs,Non-Edible,"✅ Smoke corn cobs on a BBQ for extra flavor.
✅ Use corn cobs in compost bins.
✅ Burn corn cobs as fire starters."
Onion Peels,Non-Edible,"✅ Use onion peels as natural hair dye.
✅ Boil onion peels for vegetable stock.
✅ Compost onion peels for soil health."
Meat Fat,Non-Edible,"✅ Render meat fat into cooking lard.
✅ Turn meat fat into homemade soap.
✅ Use meat fat for candle-making."
Rice Water,Non-Edible,"✅ Use rice water as a hair rinse for shiny hair.
✅ Use rice water as a natural plant fertilizer.
✅ Freeze rice water to use as soup stock."
Grape Seeds,Non-Edible,"✅ Extract oil from grape seeds (grape seed oil).
✅ Crush grape seeds into natural exfoliator for skin.
✅ Compost grape seeds."
Citrus Seeds,Non-Edible,"💡 Dry and crush citrus seeds to use as organic plant pesticides.
💡 Use citrus seeds to create natural insect repellents."
Pumpkin Guts,Non-Edible,"💡 Turn pumpkin guts into a creamy pumpkin soup or puree.
💡 Use pumpkin guts as compost for your garden."
Fish Heads,Non-Edible,"💡 Boil fish heads to make fish stock for soups.
💡 Grind fish heads and turn them into organic fertilizer."
Pineapple Cores,Non-Edible,"💡 Blend pineapple cores into smoothies for extra fiber.
💡 Use pineapple cores to infuse water for natural flavor."
Cheese Rinds,Non-Edible,"💡 Toss cheese rinds into soups or broths for rich flavors.
💡 Melt cheese rinds and use as a pizza crust topper."
Artichoke Leaves,Non-Edible,"💡 Grill artichoke leaves and dip them in melted butter.
💡 Turn artichoke leaves into compost."
Pickle Brine,Non-Edible,"💡 Use leftover pickle brine to marinate chicken or tofu.
💡 Add pickle brine to salad dressings for tangy flavor."
Avocado Pits,Non-Edible,"💡 Grind avocado pits into powder for natural hair masks.
💡 Use avocado pits to make natural pink dye for clothes."
Avocado Peels,Non-Edible,"💡 Rub avocado peels on skin for natural moisture.
💡 Use avocado peels in compost bins."
Potato Water,Non-Edible,"💡 Use potato water (from boiling potatoes) as hair growth water.
💡 Add potato water to bread dough for extra fluffiness."
Corn Silk,Non-Edible,"💡 Boil corn silk to make a natural corn silk tea.
💡 Dry corn silk and use as stuffing for pillows."
Rice Water,Non-Edible,"💡 Use rice water as a natural hair conditioner.
💡 Add rice water to plant soil for nutrient boost."
Cabbage Outer Leaves,Non-Edible,"💡 Boil cabbage leaves to make cabbage broth.
💡 Use cabbage leaves as natural plate liners."
Shrimp Shells,Non-Edible,"💡 Boil shrimp shells to make seafood stock.
💡 Grind shrimp shells into powder for natural fertilizer."
Melon Rinds,Non-Edible,"💡 Pickle melon rinds for tangy snacks.
💡 Blend melon rinds into smoothies."
Expired Milk,Non-Edible,"💡 Use expired milk to make homemade paneer or cheese.
💡 Add expired milk to compost as natural calcium."
